Country,Proportion of Undernourished in the Population (%),Prevalence of Underweight in Children Under 5 Years,Under 5 Mortality Rate,2014 GHI,Maize import quantity (tonnes),Rice import quantity (tonnes),Potato import quantity (tonnes),Wheat import quantity (tonnes),,1990,1995,2000,2005,2013
Afghanistan,,25,9.9,,655,99587,251995,222974,Afghanistan,,,,,
Albania,7.8,6.3,1.7,5.3,64685,21721,18113,254225,Albania,9.2,6.0,7.8,6.1,5.2
Algeria,2.4,3.6,2,<5,3218998,120853,136802,6304734,Algeria,7.0,7.7,5.3,<5,<5
Angola,24.4,11.3,16.4,17.4,37502,430625,37652,11,Angola,39.5,38.5,31.6,22.7,19.1
Argentina,3.4,2.3,1.4,<5,2857,5656,738,151,Argentina,<5,<5,<5,<5,<5
Armenia,2.6,5.3,1.6,<5,80641,9766,2102,345459,Armenia,,10.2,8.2,<5,<5
Azerbaijan,1.1,4.1,3.5,<5,138770,17241,62535,1451257,Azerbaijan,,14.5,11.9,5.4,<5
Bahrain,,,1,,6486,88042,20058,67660,Bahrain,,,,,
Bangladesh,16.3,36.8,4.1,19.1,446397,260256,1340,3376956,Bangladesh,36.7,35.1,24.0,20.2,19.4
Belarus,0.4,0.8,0.5,<5,84746,30217,11381,44876,Belarus,,<5,<5,<5,<5
Benin,6.1,18.4,9,11.2,1059,1374002,255,23612,Benin,22.5,20.5,17.3,15.2,13.3
Bhutan,,12.8,4.5,,2257,7948,5284,4992,Bhutan,,,,,
Bolivia,21.3,4.4,4.1,9.9,2931,36244,21796,145274,Bolivia,18.8,16.9,14.2,13.8,11.2
Bosnia & Herzegovina,2.2,1.5,0.7,<5,223325,7049,23527,279442,Bosnia & Herzegovina,,<5,<5,<5,<5
Botswana,25.7,9.2,5.3,13.4,190061,24737,16004,105346,Botswana,16.8,17.0,17.8,16.3,13.9
Brazil,6.9,2.1,1.4,<5,911387,737363,29180,7273279,Brazil,8.7,7.6,6.4,<5,<5
Bulgaria,7.2,1.8,1.2,<5,41408,27057,41680,26693,Bulgaria,<5,<5,<5,<5,<5
Burkina Faso,25,24.4,10.2,19.9,1945,439080,3487,78617,Burkina Faso,26.9,22.7,26.1,26.6,22.2
Burundi,67.3,29.1,10.4,35.6,12067,18061,6794,47133,Burundi,33.8,38.1,39.5,39.5,38.8
Cambodia,15.4,29,4,16.1,1026,41084,2,22657,Cambodia,32.2,30.7,27.8,20.9,16.8
Cameroon,13.3,15.1,9.5,12.6,13309,753263,76,494788,Cameroon,23.7,23.8,20.3,16.3,14.5
Central African Republic,28.2,23.5,12.9,21.5,269,7981,0,0,Central African Rep.,30.7,29.4,28.0,28.5,23.3
Chad,29.4,30.3,15,24.9,17791,1016,140,30000,Chad,38.8,34.9,29.8,29.7,26.9
Chile,3,0.5,0.9,<5,1097937,112637,8569,940368,Chile,<5,<5,<5,<5,<5
China,11.4,3.4,1.4,5.4,7340767,2718094,35169,6830683,China,13.0,10.4,8.4,6.7,5.5
Colombia,10.6,3.4,1.8,5.3,3635280,151646,24,1413789,Colombia,10.4,8.0,6.8,6.9,5.9
Comoros,65.3,15.3,7.8,29.5,310,39681,130,0,Comoros,24.0,27.5,33.3,29.8,33.6
