,Country,Proportion of Undernourished in the Population (%),Prevalence of Underweight in Children Under 5 Years,Under 5 Mortality Rate,2014 GHI,Maize import quantity (tonnes),Rice import quantity (tonnes),Potato import quantity (tonnes),Wheat import quantity (tonnes),1990 GHI,1995 GHI,2000 GHI,2005 GHI,2013 GHI,2015 GHI,2016 GHI
95,Saudi Arabia,1.6,4.9,0.9,0,2106596,1265557,33432,2119496,6.5,6.4,0,0,0,5.1,0
96,Senegal,21.6,15.7,6,14.4,129176,1123550,57112,515579,18.1,19.8,19.2,13.7,13.8,23.2,16.5
98,Sierra Leone,29.4,19.9,18.2,22.5,359,259440,1320,0,31.3,29.5,30,28.4,22.8,38.9,35
101,South Africa,2.1,7.9,4.5,0,40311,1266063,477,1401984,7.2,6.5,7.4,7.7,5.4,12.4,11.8
102,Sri Lanka,22.8,21.6,1,15.1,16681,24055,124668,934596,22.3,20.7,17.8,16.9,15.6,25.5,25.5
103,Suriname,10.2,5.8,2.1,6,5714,761,7312,10728,11.3,9.9,11.1,8.9,6.7,10.4,10.1
104,Swaziland,35.8,5.8,8,16.5,90251,31739,8242,31788,10.4,12.9,12.7,12.5,14.4,26,24.2
107,Thailand,5.8,8,1.3,5,192257,21306,58834,1758920,21.3,17.1,10.2,6.6,5.8,11.9,11.8
109,Togo,15.5,16.5,9.6,13.9,615,140460,2917,85899,23,19.1,20.4,18.2,14.7,23,22.4
110,Trinidad & Tobago,7.6,2.4,2.1,0,92241,27120,22307,134908,8.4,8.6,6.9,7,0,8.3,8.5
111,Tunisia,0.9,2,1.6,0,867519,12032,33362,1485639,0,0,0,0,0,5.6,5.5
112,Turkey,0.6,2.6,1.4,0,1548133,226056,9431,4053001,0,5,0,0,0,5.1,0
114,Uganda,30.1,14.1,6.9,17,5033,115615,9843,434920,21.4,22.9,19.9,18.6,19.2,27.6,26.4
116,Uruguay,6.2,4,0.7,0,135163,987,6445,39171,5.5,0,0,0,0,5.7,5.6
118,"Venezuela, RB",2.1,2.9,1.5,0,2394197,464050,1483,1470536,7.8,7.7,7.2,5.2,0,7,7
119,Vietnam,8.3,12,2.3,7.5,2626473,6251,87188,1915393,30.9,25.1,18.1,13.7,7.7,14.7,14.5
120,"Yemen, Rep.",28.8,35.5,6,23.4,460455,436458,2256,3099401,29.8,27.7,26.9,27.9,26.5,34.2,35
121,Zambia,43.1,17.7,8.9,23.2,4029,18139,4766,14,24.9,24.5,26.3,25.3,24.1,41.1,39
122,Zimbabwe,30.5,10.1,9,16.5,304532,158890,3303,198211,20,22,21.7,20.5,16.5,30.8,28.8
